simulation time,yL
19.575000,-0.000461
19.600000,0.001268
19.625000,0.007261
19.650000,-0.002000
19.675000,-0.002962
19.700000,-0.001229
19.725000,-0.013147
19.750000,-0.015546
19.775000,-0.012508
19.800000,-0.006189
19.825000,0.006097
19.850000,0.002745
19.875000,0.003734
19.900000,0.001020
19.925000,-0.001079
19.950000,-0.002939
19.975000,-0.000757
20.000000,0.001741
20.025000,0.005274
20.050000,0.005521
20.075000,0.007838
20.100000,0.007357
20.125000,0.004163
20.150000,0.004059
20.175000,-0.000153
20.200000,0.001381
20.225000,0.007002
20.250000,-0.002209
20.275000,-0.004544
20.300000,-0.002139
20.325000,-0.012475
20.350000,-0.015254
20.375000,-0.009827
20.400000,-0.003858
20.425000,0.005704
20.450000,0.002811
20.475000,0.004127
20.500000,0.000542
20.525000,-0.000016
20.550000,-0.003146
20.575000,-0.000859
20.600000,0.000968
20.625000,0.005169
20.650000,0.006155
20.675000,0.008436
20.700000,0.007022
20.725000,0.004964
20.750000,0.003846
20.775000,-0.000327
20.800000,0.001313
20.825000,0.006610
20.850000,0.000676
20.875000,-0.006714
20.900000,-0.004287
20.925000,-0.014955
20.950000,-0.014995
20.975000,-0.012295
21.000000,-0.004960
21.025000,0.005699
21.050000,0.002721
21.075000,0.002587
21.100000,0.000279
21.125000,-0.001419
21.150000,-0.001554
21.175000,0.000121
21.200000,0.003558
21.225000,0.006374
21.250000,0.006711
21.275000,0.007622
21.300000,0.007328
21.325000,0.004633
21.350000,0.004150
21.375000,-0.000905
21.400000,0.001221
21.425000,0.005972
21.450000,-0.002418
21.475000,-0.005349
21.500000,-0.002561
21.525000,-0.011125
21.550000,-0.015021
21.575000,-0.011616
21.600000,-0.005093
21.625000,0.005698
21.650000,0.003528
21.675000,0.004439
21.700000,0.000342
21.725000,-0.000669
21.750000,-0.002639
21.775000,-0.001192
21.800000,0.001201
21.825000,0.005430
21.850000,0.005859
21.875000,0.007681
21.900000,0.007351
21.925000,0.004628
21.950000,0.004150
21.975000,-0.000205
22.000000,0.001012
22.025000,0.007133
22.050000,-0.002289
22.075000,-0.005400
22.100000,-0.002734
22.125000,-0.012663
22.150000,-0.014648
22.175000,-0.011510
22.200000,-0.004606
22.225000,0.005706
22.250000,0.003737
22.275000,0.004223
22.300000,0.000352
22.325000,-0.000813
22.350000,-0.002681
22.375000,-0.000678
22.400000,0.001507
22.425000,0.005534
22.450000,0.005859
22.475000,0.008088
22.500000,0.007351
22.525000,0.004660
22.550000,0.003768
22.575000,-0.000479
22.600000,0.001277
22.625000,0.006831
22.650000,-0.001687
22.675000,-0.005317
22.700000,-0.002290
22.725000,-0.013528
22.750000,-0.015865
22.775000,-0.013223
22.800000,-0.005390
22.825000,0.005749
22.850000,0.001491
22.875000,0.001505
22.900000,-0.001422
22.925000,-0.000982
22.950000,-0.001313
22.975000,0.001701
23.000000,0.004130
23.025000,0.006360
23.050000,0.006832
23.075000,0.008211
23.100000,0.007713
23.125000,0.004742
23.150000,0.003358
23.175000,0.000327
23.200000,0.001413
23.225000,0.007690
23.250000,-0.001636
23.275000,-0.004779
